number,value,datetime_start,datetime_complete,duration,params_batch_size,params_char_dropout,params_dx_dropout,params_learning_rate,user_attrs_external_accuracy,user_attrs_test_accuracy,user_attrs_val_accuracy,state
1,0.8129402648633418,2023-08-30 10:37:25.373772,2023-08-30 11:14:20.885397,0 days 00:36:55.511625,32,0.6464704583099741,0.3232334448672798,1.8408992080552506e-05,0.7871057513914657,0.7800924681468738,0.8129402648633418,COMPLETE
10,0.8068822203437588,2023-08-30 16:13:03.093784,2023-08-30 16:50:38.823044,0 days 00:37:35.729260,32,0.6878148443151464,0.30239887318232683,4.045266535674757e-05,0.7793238507524222,0.8080748346863071,0.8068822203437588,COMPLETE
7,0.8068469991546915,2023-08-30 14:20:31.487016,2023-08-30 14:57:53.921411,0 days 00:37:22.434395,16,0.3390688456025535,0.42184550766934825,0.000236288641842364,0.7818491032776747,0.8161926778130209,0.8068469991546915,COMPLETE
13,0.7980769230769231,2023-08-30 18:05:52.082122,2023-08-30 18:43:32.237139,0 days 00:37:40.155017,32,0.6041855628027525,0.5142497056141959,2.492281110455175e-05,0.8019995877138735,0.8008978011934842,0.7980769230769231,COMPLETE
5,0.7980064806987883,2023-08-30 13:05:51.830434,2023-08-30 13:43:14.683686,0 days 00:37:22.853252,16,0.5056937753654446,0.37986951286334386,0.0002157696745589684,0.7241805813234384,0.7680232245578195,0.7980064806987883,COMPLETE
0,0.7949774584389968,2023-08-30 10:00:48.979263,2023-08-30 10:37:25.207673,0 days 00:36:36.228410,16,0.592797576724562,0.6802857225639665,4.3284502212938785e-05,0.7769016697588127,0.796113112198269,0.7949774584389968,COMPLETE
3,0.7889546351084813,2023-08-30 11:51:20.815962,2023-08-30 12:28:36.348026,0 days 00:37:15.532064,16,0.5099025726528951,0.4216968971838151,2.049268011541735e-05,0.7895794681508967,0.7936132465996452,0.7889546351084813,COMPLETE
4,0.786348267117498,2023-08-30 12:28:36.519664,2023-08-30 13:05:51.639349,0 days 00:37:15.119685,32,0.41685785941408726,0.3557975442608167,0.00010952662748632558,0.7970006184291898,0.8288801677329176,0.786348267117498,COMPLETE
11,0.7859960552268244,2023-08-30 16:50:39.040588,2023-08-30 17:28:15.361871,0 days 00:37:36.321283,32,0.6948408442112608,0.3154900799844732,3.659385896602568e-05,0.7640692640692641,0.8030751034890597,0.7859960552268244,COMPLETE
6,0.783072696534235,2023-08-30 13:43:14.899936,2023-08-30 14:20:31.286463,0 days 00:37:16.386527,32,0.3260206371941118,0.3682096494749166,0.00010769622478263136,0.8222531436817151,0.8032901456910919,0.783072696534235,COMPLETE
2,0.7801141166525782,2023-08-30 11:14:21.058720,2023-08-30 11:51:20.647066,0 days 00:36:59.588346,16,0.6329770563201687,0.6879639408647977,1.0838581269344744e-05,0.777056277056277,0.7584538465673889,0.7801141166525782,COMPLETE
14,0.7770498732037194,2023-08-30 18:43:32.454990,2023-08-30 19:21:14.294511,0 days 00:37:41.839521,32,0.6421031353173038,0.5080408348348524,6.603116576738625e-05,0.7744794887652031,0.7840438686092146,0.7770498732037194,COMPLETE
12,0.7740560721329952,2023-08-30 17:28:15.582121,2023-08-30 18:05:51.865605,0 days 00:37:36.283484,32,0.6982395719043905,0.30145031780038845,3.931534139767987e-05,0.7442279942279941,0.7664641685930864,0.7740560721329952,COMPLETE
8,0.768174133558749,2023-08-30 14:57:54.123231,2023-08-30 15:35:26.412410,0 days 00:37:32.289179,16,0.31375540844608735,0.498070764044508,1.6119044727609182e-05,0.7816429602143888,0.7800924681468738,0.768174133558749,COMPLETE
9,0.7562341504649197,2023-08-30 15:35:26.600592,2023-08-30 16:13:02.900856,0 days 00:37:36.300264,16,0.5080272084711243,0.42468443043576437,0.00013353819088790598,0.7391259534116676,0.7568947906026557,0.7562341504649197,COMPLETE
