number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dx_dropout,params_learning_rate,user_attrs_external_accuracy,user_attrs_test_accuracy,user_attrs_val_accuracy,state
4,0.8440354147250699,2023-09-04 10:36:11.684251,2023-09-04 10:44:45.179623,0 days 00:08:33.495372,16,0.5099025726528951,3.2877474139911175e-05,0.7639661925376211,0.8561148325358852,0.8440354147250699,COMPLETE
0,0.8413327120223673,2023-09-04 10:03:19.341295,2023-09-04 10:11:51.890674,0 days 00:08:32.549379,16,0.6802857225639665,4.3284502212938785e-05,0.7890641104926819,0.8513301435406699,0.8413327120223673,COMPLETE
13,0.8365097856477167,2023-09-04 11:53:01.461913,2023-09-04 12:01:38.214714,0 days 00:08:36.752801,16,0.535528528904839,5.654904207871729e-05,0.7534528963100391,0.8321531100478469,0.8365097856477167,COMPLETE
2,0.8311742777260018,2023-09-04 10:19:56.641465,2023-09-04 10:28:03.997518,0 days 00:08:07.356053,32,0.5832290311184182,0.00010502105436744271,0.791640898783756,0.8361913875598086,0.8311742777260018,COMPLETE
14,0.8294268406337372,2023-09-04 12:01:38.421662,2023-09-04 12:10:11.604893,0 days 00:08:33.183231,16,0.43225635109359833,1.938368339476709e-05,0.7787054215625644,0.8265454545454545,0.8294268406337372,COMPLETE
9,0.828331780055918,2023-09-04 11:18:17.827566,2023-09-04 11:26:57.492403,0 days 00:08:39.664837,16,0.3390688456025535,3.292529363110524e-05,0.7744794887652031,0.8577607655502393,0.828331780055918,COMPLETE
11,0.828331780055918,2023-09-04 11:35:41.341368,2023-09-04 11:44:22.085522,0 days 00:08:40.744154,16,0.5057834634128021,3.884089784385282e-05,0.7560296846011132,0.8442296650717703,0.828331780055918,COMPLETE
8,0.8181733457595527,2023-09-04 11:09:36.506394,2023-09-04 11:18:17.641362,0 days 00:08:41.134968,16,0.6795542149013333,1.289795048085554e-05,0.7712327355184498,0.8377607655502393,0.8181733457595527,COMPLETE
3,0.8175908667287978,2023-09-04 10:28:04.189462,2023-09-04 10:36:11.493268,0 days 00:08:07.303806,32,0.38493564427131044,0.00025959425503112657,0.7712327355184498,0.8281913875598086,0.8175908667287978,COMPLETE
5,0.8175209692451071,2023-09-04 10:44:45.360023,2023-09-04 10:52:51.811191,0 days 00:08:06.451168,32,0.3557975442608167,0.00010952662748632558,0.7590702947845804,0.7930526315789473,0.8175209692451071,COMPLETE
7,0.8159832246039143,2023-09-04 11:00:58.667856,2023-09-04 11:09:36.318105,0 days 00:08:37.650249,16,0.3185801650879991,0.0001015066704592858,0.7559781488352917,0.833799043062201,0.8159832246039143,COMPLETE
12,0.8126281453867661,2023-09-04 11:44:22.285437,2023-09-04 11:53:01.255367,0 days 00:08:38.969930,16,0.6911248175854052,2.716381563904916e-05,0.756338899196042,0.8194066985645934,0.8126281453867661,COMPLETE
1,0.8122553588070829,2023-09-04 10:11:52.062984,2023-09-04 10:19:56.456663,0 days 00:08:04.393679,32,0.362397808134481,1.8410729205738674e-05,0.7919501133786848,0.8274066985645934,0.8122553588070829,COMPLETE
10,0.8057548928238583,2023-09-04 11:26:57.687813,2023-09-04 11:35:41.140336,0 days 00:08:43.452523,16,0.4563755404695334,0.0004034211273268901,0.7738610595753452,0.7811291866028709,0.8057548928238583,COMPLETE
6,0.799767008387698,2023-09-04 10:52:51.996494,2023-09-04 11:00:58.448977,0 days 00:08:06.452483,32,0.6140703845572054,5.954553793888986e-05,0.748917748917749,0.8050526315789474,0.799767008387698,COMPLETE
